Age,Developmental Period
8 pcw,Early prenatal
9 pcw,Early prenatal
12 pcw,Early prenatal
13 pcw,Early mid-prenatal
16 pcw,Early mid-prenatal
17 pcw,Early mid-prenatal
19 pcw,Late mid-prenatal
21 pcw,Late mid-prenatal
24 pcw,Late mid-prenatal
25 pcw,Late prenatal
26 pcw,Late prenatal
35 pcw,Late prenatal
37 pcw,Late prenatal
4 mos,Early infancy
10 mos,Late infancy
1 yrs,Late infancy
2 yrs,Early childhood
3 yrs,Early childhood
4 yrs,Early childhood
8 yrs,Late childhood
11 yrs,Late childhood
13 yrs,Adolescence
15 yrs,Adolescence
18 yrs,Adolescence
19 yrs,Adolescence
21 yrs,Adulthood
23 yrs,Adulthood
30 yrs,Adulthood
36 yrs,Adulthood
37 yrs,Adulthood
40 yrs,Adulthood